all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	mode	perturbation	target_genes	n_shared_sites	graph_abs	latent_abs	residual_abs	attention_mean
0.5060220956802368	0.6817561440337974	0.7692307692307693	0.5025492906570435	0.9047619047619048	0.75	0.625	1.0	0.7862903225806451	0.0003105169744230807	0.5786794424057007	0.0008012101170606911	0.00016602141840849072	shuffled	vorinostat	PSMB5	39	0.0003105169744230807	0.0	0.0	0.0010011919075623155
0.21848636865615845	0.4029408531977316	0.6486486486486487	0.8238860368728638	0.880952380952381	1.0	0.125	1.0	0.5	0.04846694692969322	0.6050338745117188	0.038741499185562134	0.05624648556113243	true	Selumetinib	MAP2K1;MAP2K2	37	0.0005246999207884073	0.022146791219711304	0.02647937647998333	0.0009119613096117973
0.3114232122898102	0.42606429827529413	0.5135135135135135	0.8799002766609192	0.9047619047619048	0.875	0.125	1.0	0.5948275862068966	0.0004056650213897228	0.6050338745117188	0.00032553102937527	0.0004454032750800252	zero	Selumetinib		37	0.0004056650213897228	0.0	0.0	0.0012008138000965118
0.36674198508262634	0.39416580224522063	0.5675675675675675	0.8605711460113525	0.8333333333333335	0.875	0.125	1.0	0.6336206896551724	0.04022868350148201	0.6050338745117188	0.044031109660863876	0.03615546226501465	shuffled	Selumetinib	ABL1;KIT	37	0.0008058917592279613	0.017368296161293983	0.02243853360414505	0.0029532015323638916
0.7933989763259888	0.6986837866512756	0.7027027027027027	0.9555651545524597	0.9700772721497397	1.0	0.625	1.0	0.853448275862069	0.039609313011169434	0.4752514958381653	0.07363079488277435	0.027483128011226654	true	Nilotinib	ABL1;KIT;PDGFRB	37	0.0007730209617875516	0.01698898896574974	0.02219408191740513	0.0028103026561439037
0.7893118262290955	0.6952449153320484	0.8108108108108109	0.8369402885437012	0.9101959590540767	0.75	0.5	1.0	0.7068965517241379	0.0004056650213897228	0.4752514958381653	0.0008885604911483824	0.0002135120885213837	zero	Nilotinib		37	0.0004056650213897228	0.0	0.0	0.0012008138000965118
0.725269079208374	0.7399502424820026	0.7567567567567568	0.945566713809967	0.9700772721497397	1.0	0.5	1.0	0.75	0.04908081516623497	0.4752514958381653	0.07321275770664215	0.03962986543774605	shuffled	Nilotinib	EGFR	37	8.395938493777066e-05	0.027583815157413483	0.02210157737135887	0.0003395049716345966
0.5995153784751892	0.6686825989352585	0.7027027027027027	0.7183040976524353	0.5389318178609664	0.875	0.25	1.0	0.5991379310344828	0.060075175017118454	0.8670492172241211	0.07073169946670532	0.04401138052344322	true	dactolisib	PIK3CA;PIK3CB;MTOR	37	0.0006616051541641355	0.027813885360956192	0.031635720282793045	0.0020124325528740883
0.5328319668769836	0.6546899501190925	0.7837837837837838	0.5835031867027283	0.5389318178609664	0.875	0.375	1.0	0.6077586206896551	0.0004056650213897228	0.8670492172241211	0.0005335850873962045	0.00027199796750210226	zero	dactolisib		37	0.0004056650213897228	0.0	0.0	0.0012008138000965118
0.6682643294334412	0.7119649448496705	0.6756756756756757	0.747135579586029	0.5149792926227014	0.875	0.375	1.0	0.6982758620689655	0.039609313011169434	0.8670492172241211	0.055819787085056305	0.023690439760684967	shuffled	dactolisib	ABL1;KIT;PDGFRB	37	0.0007730209617875516	0.01698898896574974	0.02219408191740513	0.0028103026561439037
0.40436169505119324	0.3001304589297995	0.6756756756756757	0.8522133231163025	0.9523809523809524	1.0	0.375	1.0	0.5948275862068966	0.04198057949542999	0.489061564207077	0.049844078719615936	0.04458286613225937	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	37	0.0006030935328453779	0.015928536653518677	0.02605007216334343	0.001981529174372554
0.3374282419681549	0.3034507484793982	0.5945945945945946	0.6253271698951721	0.9047619047619048	0.75	0.375	1.0	0.5646551724137931	0.0004056650213897228	0.489061564207077	0.0005514692747965455	0.00042304181260988116	zero	vorinostat		37	0.0004056650213897228	0.0	0.0	0.0012008138000965118
0.3374282419681549	0.3034507484793982	0.5945945945945946	0.6253271698951721	0.9047619047619048	0.75	0.375	1.0	0.5646551724137931	0.0004056650213897228	0.489061564207077	0.0005514692747965455	0.00042304181260988116	shuffled	vorinostat	PSMB5	37	0.0004056650213897228	0.0	0.0	0.0012008138000965118
0.4750652313232422	0.5186118578637235	0.631578947368421	0.8259701132774353	0.8571428571428572	0.75	0.5	1.0	0.8208333333333333	0.03995627164840698	0.483893483877182	0.060644861310720444	0.033341798931360245	true	Selumetinib	MAP2K1;MAP2K2	38	0.00034279070678167045	0.018458323553204536	0.022541234269738197	0.0007109956932254136
