mode	perturbation	target_genes	n	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	graph_abs	latent_abs	residual_abs	attention_mean
true	curcumin	CREBBP;EP300	7	0.4946146820272718	0.5253077801018116	0.7160213817190562	0.6906908750534058	0.5383018729728183	0.8507936507936508	0.4440476190476191	0.9047619047619048	0.7692696886338011	0.08238356347594943	0.5305238110678536	0.12268878945282527	0.06710754760674068	3.392417303465274e-05	0.041053165814706256	0.041450233331748416	9.118127387150057e-05
true	dactolisib	PIK3CA;PIK3CB;MTOR	7	0.542284620659692	0.6042408283627997	0.7561608832117171	0.7480351328849792	0.5694265626048897	0.8711966604823748	0.28515769944341374	0.9523809523809523	0.5903047445165672	0.061310904898813794	0.8971370032855442	0.06883406213351659	0.05794834345579147	3.8847083487780765e-05	0.029994456097483635	0.03151058645120689	0.00012466455102964704
true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	22	0.6022842296145179	0.5696741908108485	0.7038049702302632	0.7715607434511185	0.6869308367042252	0.9112718089990818	0.42745966155057064	1.0	0.6760035368142758	0.04824131473221562	0.7049070163206621	0.07502532708035274	0.03663638725199483	8.125228636014403e-05	0.020756581247868864	0.028380570255897263	0.00019370498557691462
zero	Bortezomib		7	0.43024447028126034	0.5216494877723613	0.553506582316005	0.4877741592270987	0.5306830716230774	0.782312925170068	0.5051020408163265	0.9047619047619048	0.7147562358276645	4.4032900794783405e-05	0.9049756356648037	0.0001362335177483536	9.705956927064108e-06	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Bosutinib		7	0.6031161248683929	0.7084489629598328	0.6222060527663243	0.6864943334034511	0.8770683873876709	0.7746598639455782	0.5850340136054422	1.0	0.7010856009070295	4.4032900794783405e-05	0.5881333947181702	0.00017025525500814962	6.345194768592981e-06	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Carfilzomib		7	0.3754851262284709	0.4881301510987771	0.5447002923976608	0.4620899132319859	0.7077641146513464	0.8035714285714286	0.4328231292517007	0.8571428571428571	0.5968990929705216	4.4032900794783405e-05	0.9595299107687814	0.0001393346885509215	1.8090293646569728e-05	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Dasatinib		6	0.47724739213784534	0.6142282654165901	0.6257168458781363	0.5665094157059988	0.6985173878081924	0.7251984126984127	0.45039682539682535	1.0	0.6008928571428571	3.575490882212762e-05	0.709710568189621	0.00012738023572940924	8.613031620067583e-06	3.575490882212762e-05	0.0	0.0	7.491294733578495e-05
zero	Erlotinib		7	0.6214018166065216	0.759112520612857	0.64493778128116	0.6855233609676361	0.8005728180437764	0.7831632653061223	0.5238095238095238	1.0	0.7198724489795918	4.4032900794783405e-05	0.6454836215291705	0.00016895749013201566	6.6206855210891395e-06	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Gefitinib		7	0.5832933102335248	0.7357998510309212	0.584023566981971	0.6894909313746861	0.7536648552989176	0.782312925170068	0.552721088435374	1.0	0.7078571428571429	4.4052169479462986e-05	0.6404468374592918	0.0001669853888545601	6.699426908848441e-06	4.4052169479462986e-05	0.0	0.0	9.872358402520019e-05
zero	Imatinib		7	0.5706261055810111	0.7179887235717597	0.5868382313310158	0.6566104974065509	0.8628529423315783	0.7627551020408163	0.5442176870748299	1.0	0.7003968253968254	4.4032900794783405e-05	0.5799754985741207	0.00016469864385726396	8.318244324202948e-06	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Lapatinib		7	0.45893712980406626	0.701995978292553	0.6338276807610423	0.4798208028078079	0.7378880721989088	0.8035714285714286	0.5561224489795918	0.9642857142857143	0.6817658730158731	4.4052169479462986e-05	0.6712903039796012	0.0001691655030039588	6.6202102451435555e-06	4.4052169479462986e-05	0.0	0.0	9.872358402520019e-05
zero	Nilotinib		7	0.42438800420079914	0.6244032377364955	0.5139687536891172	0.5522579891341073	0.6769748377930389	0.6197124304267162	0.4044990723562152	1.0	0.6046910068584944	1.7956666072547834e-05	0.5647798095430646	4.507564166747865e-05	7.6251288711708705e-06	1.7956666072547834e-05	0.0	0.0	4.781293656768477e-05
zero	Ponatinib		7	0.3269840659839766	0.4033526499456731	0.563516822971407	0.34919250650065287	0.633479675966685	0.49319727891156456	0.348639455782313	0.8333333333333334	0.5599007936507937	4.4032900794783405e-05	0.6152817904949188	0.00014648457382853458	1.5658212825136225e-05	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Selumetinib		7	0.288212080885257	0.42085846725892473	0.5456810578212755	0.3326166293450764	0.41922224329258556	0.7130797773654917	0.38636363636363635	0.880952380952381	0.6231123638266496	1.7956666072547834e-05	0.6689348305974688	4.221943579198394e-05	1.0879650095115981e-05	1.7956666072547834e-05	0.0	0.0	4.781293656768477e-05
zero	Trametinib		7	0.4294248899178846	0.593097662994257	0.5706170668607001	0.6886101365089417	0.645183763889884	0.7763605442176871	0.5051020408163265	1.0	0.7312216553287981	4.4032900794783405e-05	0.7906239543642316	0.00010180841776933189	2.6942298388478646e-05	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
zero	Vorinostat		6	0.4187698910633723	0.5438140210296387	0.5578784270263473	0.47639090816179913	0.600484819190305	0.6547619047619048	0.4444444444444444	0.875	0.6294113756613756	3.573242869000145e-05	0.5478563159704208	0.0001273032956608707	1.0146812807458142e-05	3.573242869000145e-05	0.0	0.0	7.482844800203263e-05
zero	curcumin		7	0.5119284817150661	0.6534476677431716	0.5865686316267712	0.566324919462204	0.647142874396062	0.7242063492063492	0.3904761904761905	1.0	0.6272117548207738	2.5027909681999256e-05	0.5305238110678536	6.220322341375452e-05	9.678650258138077e-06	2.5027909681999256e-05	0.0	0.0	6.038240098860115e-05
zero	dactolisib		7	0.40548229004655567	0.6633457080720151	0.5352037198956204	0.4819715938397816	0.4900127253214343	0.5889146567717997	0.36243042671614095	1.0	0.5482363039259591	1.7956666072547834e-05	0.8971370032855442	4.343259761948762e-05	8.880621343061129e-06	1.7956666072547834e-05	0.0	0.0	4.781293656768477e-05
zero	vorinostat		22	0.48274022645571013	0.6052885503402581	0.5751888892276812	0.5921801599589261	0.7096254109329572	0.7107552800734619	0.3781024531024531	1.0	0.6121957454046377	2.949340560834654e-05	0.7049070163206621	8.539422360213807e-05	1.1611327677614595e-05	2.949340560834654e-05	0.0	0.0	7.171089311503403e-05
