rank	split_69001	split_69002	split_69003	split_69004	split_69005
1221	ADGRE5	TTC39C	MAPKAPK3	__Nars	CEMIP2
1222	CLEC2B	NCKAP1L	__Hemk1	__Gm16286	IVNS1ABP
1223	TUBA1A	RLF	CABIN1	RBMS1	RABAC1
1224	STAT4	ACTR1B	NFKB2	__Clybl	__Ptpa
1225	SMAP1	__P4ha1	__Thrap3	PPP2R2A	__Ddx39
1226	__Snhg1	PCED1B	__Thoc7	KIF20B	LAMTOR1
1227	NDUFC1	__Knstrn	__Lamtor1	__Itgb3	__Arpc4
1228	__Pbrm1	__Etv6	CCDC88C	PCNX1	__Actn4
1229	__Nsmce2	__H2-Q4	SCLT1	SF3B1	__Zbtb7a
1230	__6430571L13Rik	__Mrps15	ACTN4	SUMO1	__Gprin3
1231	REL	__Scp2	__Rfc2	__Phip	UBA2
1232	CFDP1	TAPBP	__Sfxn1	CEP350	__Rrm2
1233	ACTR1B	__Cisd3	STIM1	SMAP1	__Cenpp
1234	__Ddx6	__Aurkb	NUCB1	AP2M1	AKT3
1235	__Mtmr3	ROMO1	PTPN22	STIP1	__Tut4
1236	ARID1A	TNFRSF14	__Ccni	__Add1	SMS
1237	__Cnot4	UPP1	SMS	LYRM4	EIF4A2
1238	CNPY2	HNRNPH1	TCERG1	__Prkce	__Stt3b
1239	__Ccm2	__Batf3	AHSA1	__Lrrc32	VPS28
1240	__Fbxl17	RER1	YME1L1	AK4	__Ddt
1241	SUMO3	__Galnt6	__Picalm	PAIP2	SMAP1
1242	TACC1	VPS13B	CDKN3	CHMP4A	__Tyms
1243	SP100	__Ccna2	__Cbx5	__Uqcrc2	DDX50
1244	NCKAP1L	CNPY2	__Sltm	__Stat4	__Kif22
1245	AIMP1	__Ncoa3	CDKN2D	DDX6	__Nsmce2
1246	__Scp2	TADA3	__Ddt	__Pitpna	TIAM1
1247	__Cisd3	SATB1-AS1	__Xpo1	__Polr2j	NIPBL
1248	__Tyms	EIF4G3	__Prkce	PRRC2B	__Ech1
1249	TTC39C	__Ikzf4	AC004687.1	__Psma6	ZC3H15
1250	__Galnt6	__Wwox	__Gprin3	SSBP2	TTC17
1251	GTF3C6	AFF1	__Tnik	PDXK	__Chchd1
1252	__Tmem167	NFKB2	__Elf4	__Sra1	AL109930.1
1253	OPTN	OGT	__Taok3	__Cd4	DNAJB6
1254	__Fam133b	IL4R	RABAC1	CCT2	HNRNPH3
1255	RRM1	IL1RAP	__Peli1	__Ambra1	KDELR1
1256	TAPBP	CLTC	__Ccna2	RABAC1	PUM3
1257	__Rpp21	__Tmem167	__Nsmce2	__Bcap31	STOML2
1258	EIF4G3	EXOSC8	__Smarca5	__Pacs1	GTF3A
1259	KAT2B	SNW1	CDK19	__Ctsd	YME1L1
1260	__Arpc4	GTF3C6	__Mier1	__Fubp1	CCDC88C
1261	__Dnajc2	__Got2	IL2RB	WDFY1	__Srgap2
1262	__1700025G04Rik	__Ccm2	OIP5-AS1	__Pola1	NSMCE1
1263	AHSA1	RAB1A	__Zbtb7a	__Itih5	__Batf3
1264	__Pde4d	CYBC1	__Actn4	__Zfp91	__Thrap3
1265	__Selenof	H2AFX	CYBC1	MRPS5	AP3S1
1266	ATP6V1F	__Fbxl17	__Ube2h	ATG7	__Gstp3
1267	__Abracl	__Erh	PPP1R16B	__Gstp3	__Atp1b3
1268	__Ptpa	FRYL	CDK2AP2	PGLS	__Ppp3cc
1269	TACC3	__Tyms	__Dgkd	HSPB11	LINC01578
1270	__Ncoa3	HNRNPAB	__Chd7	ABRACL	ATP6V0B
1271	JAK3	FXR1	__Fubp1	UQCC2	__Ccna2
1272	RAB1A	__Phf20l1	__Rnaseh2c	RAB2A	MCTP2
1273	__Rfc2	H2AFY	PAIP2	HAX1	UBE2B
1274	SYF2	__Sec11c	VPS28	LARP4B	__Rnaseh2c
1275	__Ikzf4	__Ptpa	PUM3	PEAK1	RAB2A
1276	__Csnk1g1	__Snrnp25	ENY2	__Uqcc2	SRP72
1277	GLG1	MCM5	__Zfp148	__Tspan32	__Gm47283
1278	__Bzw1	GLG1	ADGRE5	__Sik3	PFKFB4
1279	EML4	__Capza2	__Tmem14c	PIH1D1	CNTRL
1280	HNRNPH1	TCERG1	__Pfdn6	RBM3	__Cd5
1281	RFX7	SUMO3	TIAM1	TMEM131L	__Ppp2ca
1282	NR3C1	__Ralbp1	PPP4C	__Smc6	UFM1
1283	CLTC	__Ncoa2	__Tmem167	SEPTIN2	ROMO1
1284	SNHG32	__Pde4d	ABCC1	__Hprt	__H2-Q6
1285	__Capza2	AL109930.1	PPP4R2	__Mkln1	__Rab5c
1286	SNW1	ATP6V1F	__Syncrip	DNMT1	__Ccm2
1287	__Tnks2	FAM133B	NIPBL	__Gpbp1	__Zfp148
1288	TCERG1	__Use1	RNH1	MAD1L1	UBE2M
1289	IL1RAP	DCAF7	__Mrps14	__1700025G04Rik	STIM1
1290	__Aurkb	PPP1R12A	H2AFY	PSMD13	CENPE
1291	__Eif4g1	__Selenof	__Il24	__Man1a	REL
1292	MTPN	ETHE1	__Srgap2	__Dazap2	TET2
1293	__Wwox	NSMCE2	__Ptpa	BDP1	__Syncrip
1294	EXOSC8	__Nampt	KARS	__Enox2	__Abracl
1295	AFF1	SNHG32	__Nop56	__Lcp2	__Ube2h
1296	IL4R	JAK3	REL	TM9SF3	DCAF7
1297	__Ncoa2	__Abracl	__Ppp2ca	ENOSF1	ACTN4
1298	EIF3J	__Arpc4	__Pmvk	__Nudt21	__Rrbp1
1299	DCAF7	__Rfc1	SRPK1	CUL3	NDUFC1
1300	ARPC4	DDX50	PCED1B	SPAG9	ABCC1
1301	__Siva1	__Bzw1	__Rnps1	UQCRFS1	__Tuba1c
1302	__Tfrc	CD81	KDM4C	PCNP	TTC3
1303	__Psmc4	NDUFB1	__Cox14	PDS5B	OPTN
1304	__Snrpa	PAN3	EIF4A2	GSPT1	ARGLU1
1305	__Grk2	__Polr2f	SELENOK	POLA1	__Nap1l4
1306	__Cdk12	__Pds5a	TACC3	KAT6A	__Nfat5
1307	VPS28	MTPN	UBE2M	EPC1	CCDC12
1308	__Ralbp1	ARL2	ZNHIT1	__Arid4b	__Smarca5
1309	__Sap18	__Ndufb6	__Ech1	KLF12	OIP5-AS1
1310	__Cdk17	__6430571L13Rik	PFKFB4	__Stat1	__Rras2
1311	__Nup210	__Tnks2	PIP4K2A	LBR	NUCB1
1312	RBM6	__Cdk17	VAPA	__Chd7	ARID1A
1313	__Polr2f	__Elf4	__Gadd45g	UBA2	__Cnot6l
1314	SSU72	TACC3	__Prkcq	__Nfatc2	__Sec11c
1315	__Incenp	SF1	SUZ12	ATF7IP	KARS
1316	IL2RB	AHSA1	__Kif22	__Strn3	__Sertad1
1317	FRYL	GMDS	MRPS18B	HBS1L	XYLT1
1318	PAN3	CBX5	__Mrps21	YME1L1	__Celf1
1319	EIF4G2	ARPC4	__Trim25	__Myl12b	MRTO4
1320	__Rfc1	CLEC2B	OPTN	BUD23	__Lrrfip1
1321	VPS13B	__Dnajc2	__H2-Q6	MT-ND6	__Eif5b
1322	__Hdlbp	NCOA2	__Mapre1	__Cmip	__Il21r
1323	__Elf4	SSU72	__Pum2	__Mcm3	__Csnk1g1
1324	FXR1	__Dnaja2	__Ccm2	__Tasp1	__Rsrc1
1325	__Gsk3b	OPTN	PHGDH	__Rasal3	NKTR
1326	__Nampt	__Ostf1	TACC1	RPN2	MTHFD1L
1327	PCED1B	__Ncoa7	__Nap1l4	__Cenpp	__Dgkd
1328	__Dnaja2	__Tnrc6c	__Itpkb	__Clint1	__Polr2j
1329	RNASEH2C	RAB2A	__Rbbp4	__Dbnl	TERF2IP
1330	ISG15	__Cdk12	GALM	__Nsmce2	GTF2I
1331	RLF	SF3B1	RBIS	__Ccm2	__Zeb1
1332	__Csnk2a1	__Gsk3b	RTF1	__Sptbn1	__1700025G04Rik
1333	OGT	KIF20B	DYNLRB1	PPP1CB	KDM4C
1334	__Ndufb6	__Itgb2	CD28	ANKRD28	ADGRE5
1335	__Ddost	CNTRL	MTHFD1L	__Acsl4	ZDHHC14
1336	TTC3	__Snrpa	NSA2	CNTRL	__Tk1
1337	DDX50	NUP62	ARGLU1	TMEM59	AC004687.1
1338	GALM	DCXR	OSBPL8	CEP57	CAMKMT
1339	PPP1R12A	__Sap18	EIF5	__Fam120a	__Mdm4
1340	SSB	IKBKB	__Celf1	__Bag1	PNN
1341	__Phf20l1	NSRP1	PPP1R15A	__Dazap1	SSU72
1342	FAM133B	ZFR	__Capza2	__Ccna2	__Cd48
1343	__Acp1	__Tuba1c	__Sec11c	__Rtf1	ZNHIT1
1344	__Med28	TXNL4A	__Psmb7	__Snrpc	__Tmem14c
1345	SF3B1	__Npepps	__Ndufb10	ARID1A	TNIK
1346	__Ncoa7	APEX1	RPA3	EIF6	CXCR4
1347	__Hemk1	__Ddost	__Nfat5	DYNLRB1	__Stk17b
1348	IKBKB	IGSF9B	SF3B1	PRKX	PRPF40A
1349	RAB2A	ATP6V0B	__Ddx39	__Eprs	EIF1AY
1350	H2AFY	__Med28	__G3bp2	PSMC1	__Nt5c
1351	MRPS18B	__Incenp	__Hprt	PNN	__Pan3
1352	__Itpkb	__Rnps1	C7orf50	__Vps13b	__Capza2
1353	__Ostf1	__Itpkb	RAB2A	VAPA	RSRC2
1354	__Tuba1c	HIF1A	CNTRL	AL109930.1	__Ccnb1
1355	NUP62	TTC3	PTEN	PTPN6	__Nfatc3
1356	__Ccnb1	RNASEH2C	__P4ha1	__Papola	__Fbxl17
1357	__Itgb2	RBM6	MCM3	H2AFY	PPP1R15A
1358	__Tnrc6c	ESD	MXI1	LRPPRC	__Pum2
1359	__Pds5a	__Tbl1x	NKTR	__Tmem134	PET100
1360	C7orf50	__Tfrc	__Huwe1	__Mdfic	__Xpo1
1361	__Tbc1d10c	ICAM3	KIF20B	__Bri3	__Cox14
1362	__Ndufb10	__Pdk1	TAPBP	__H1f0	__Rcbtb1
1363	MAP2K2	__Eif4g1	NSMCE1	NCAPG2	MAD1L1
1364	__Pfdn6	__Rfc2	MAD1L1	HNRNPA0	NDUFA12
1365	__Cd5	SDHA	SF1	IVNS1ABP	__Arf3
1366	GMDS	AP3S1	STAT4	OPTN	__Picalm
1367	__P4ha1	KDELR1	__Rab5c	CBFB	TACC1
1368	__Ostc	__Cd5	SRP72	TBC1D10C	CDK19
1369	__Mcm3	GPBP1	__Pbrm1	ISG15	__Bzw1
1370	NCOA2	__Foxo1	__Rrm1	ACAT2	TBC1D10C
1371	KIF20B	PUM3	LAMTOR1	MCM6	__Mcm3
1372	__Ddx39	__Siva1	__Arf3	__Dgkz	SELENOK
1373	__Rnps1	__Psmc4	ZDHHC14	__Tcf20	FBXW7
1374	__Mcm7	__Rrm2	AK4	PHACTR2	PTPN22
1375	CBX5	CSK	STOML2	ANXA2	__Galnt6
1376	IDI1	GALM	__Trim28	TENT2	__Bex3
1377	__Grk6	PACS1	BACH1	FNBP4	ENY2
1378	NSRP1	NRDC	LBH	DDX3Y	__Pdap1
1379	C1orf43	__Stag1	BUB3	TTC3	PIP4K2A
1380	NRDC	SSB	CYLD	__Ewsr1	VKORC1
1381	__Eif3b	__Ostc	FBXW7	__Lsm6	__Gsk3b
1382	__Trim28	TMEM65	__Pdk1	__Akt3	H2AFY
1383	__Bcas2	HELZ	__Tmco3	__Timm23	SAE1
1384	CNTRL	__Bcas2	__Mdm4	__Lamtor1	__Fkbp4
1385	__Acap1	MRPS18B	UPP1	__Tmco3	__Pbrm1
1386	HIF1A	__Acp1	__Rwdd1	__Snx5	__Tmem167
1387	IGSF9B	__Tbc1d10c	ADRM1	ZC3H12C	ATP6V0C
1388	SDHA	__Fli1	__Pan3	LEF1	__Incenp
1389	ICAM3	CDK4	__Zeb1	MRTO4	CLEC2B
1390	NSMCE2	__Nup210	__Csnk2a1	__Ctcf	NSA2
1391	CCDC124	__Grk2	CAMKMT	REL	SMC3
1392	ROMO1	__Snhg1	__Eva1b	UBE2B	ISG15
1393	CSK	__Diaph1	ATP6V0C	CNOT1	CAPG
1394	__Pole4	__Pole4	__Pdap1	__Trim28	__Bola2
1395	CDK4	__Acap1	__Taf1d	DNAJA1	HNRNPH1
1396	__Ddb1	PSMD11	TMEM14B	PDK3	__Cnot4
1397	__Ech1	EIF4G2	MT1X	SRPK1	__Paip2
1398	ESD	__Trim28	DDB1	NUP153	__Zc3h15
1399	__Npepps	__Mrps33	__Ap2m1	MIR181A1HG	BACH1
1400	__G3bp2	__Mcm7	EIF1AY	__Rras2	SUZ12
1401	__Paip2	__Paip2	TTC3	BRD4	__Nars
1402	__Ube3a	__Hdlbp	PPP1R12A	GSK3B	PCED1B
1403	TMEM65	IARS	__Acap1	BSG	EML4
1404	MRTO4	__Eif4a3	SRSF9	R3HDM1	PPP1R12A
1405	PACS1	__Hemk1	__Caprin1	__Oxct1	MLF2
1406	__Sfxn1	TCF12	RBM26	RPS6KA3	__Mtch1
1407	APEX1	MAPKAPK3	__Csnk1g1	__Evl	LBH
1408	HNRNPAB	__Pfdn6	__Mcm3	ATP13A3	__Puf60
1409	__St3gal4	SNHG5	TNFRSF14	__Pmvk	__Dnajc2
1410	ZFR	__Psmd7	__Saraf	TGFB1	GNL3
1411	LAMTOR1	HDGF	DCAF7	PRMT2	AC016831.7
1412	__Acot7	__Ccnb1	__Dazap2	__Slc9a3r1	PIM2
1413	__Pkp3	__Mcm6	CEP192	__Cdv3	__Peli1
1414	GPBP1	__Rbm17	__Stat1	__Txnl1	CD28
1415	FAM153CP	IDI1	HIPK2	__Smg1	__Acap1
1416	__Rab5c	VPS28	__Sp110	ATP6V0B	AK4
1417	__Mcm6	PET100	AL109930.1	__Srp14	ABCF1
1418	__Nap1l4	TOMM40	TERF2IP	EWSR1	__Actr2
1419	HDGF	__Nap1l4	__Twf2	SLC5A3	DDX39A
1420	MAPKAPK3	__Ndufb10	__Gadd45gip1	__Aebp2	__Rrm1
1421	__Psmd7	BATF3	__AA467197	__Sec11c	CYLD
1422	__Mrps33	__G3bp2	XYLT1	__Hnrnpul2	UPP1
1423	NDUFB1	__St3gal4	VKORC1	__Rnaseh2c	__Rwdd1
1424	MAD1L1	__Chd3	__Uqcrc2	LINC00513	__Smg6
1425	KDELR1	__Sfxn1	MLF2	RXRA	PPP1R16B
1426	__Srp14	LDLRAD4	TRPM7	__Zdhhc18	__Trim28
1427	TXNRD1	TUT4	JAK3	__Nedd9	__Grk6
1428	__Rrm2	__Ddx39	__Rsrc1	__Uqcrc1	CEP192
1429	ACBD6	__Mcm3	KAT2B	__Tm9sf3	NOSIP
1430	__Zfp292	__Acot7	__Exosc8	GNB2	HIPK2
1431	PITPNC1	TMEM14B	__Incenp	__Capza2	BDP1
1432	AP3S1	__Actn4	CHSY1	MANF	UQCRC2
1433	PSMD11	ELOF1	GLG1	__Tcf12	NOP56
1434	SNHG5	__Pkp3	GTF3A	BRAF	__Eprs
1435	TOMM40	PPP4R2	__Bzw1	ACAP2	__Thoc7
1436	SEC11A	C1orf43	NDUFA12	PGP	__Trim25
1437	PUM3	NPEPPS	ATP6V0B	DDHD1	__Mapre1
1438	__Ppp1r14b	MAD1L1	__Sertad1	__Nisch	IGSF9B
1439	__Tbl1x	PNN	NCK2	__AA467197	__Cdk17
1440	__Foxo1	SEC11A	PNN	__Id2	__Bag1
1441	ELOF1	SYNE3	__Csde1	AC004687.1	SRSF9
1442	ZNHIT1	__Rab5c	__Wwox	__Psma1	__Srp14
1443	__Rbm17	__Tmco3	__Drap1	__Mthfd2	PPP1R7
1444	__Hnrnpd	HNRNPH3	__Cdk17	SCLT1	__Stat1
1445	__Tmco3	CCDC124	__Mtch1	EIF3I	BRD4
1446	__Pdk1	TXNRD1	__Acin1	TAF10	__Exosc8
1447	SF1	FAM153CP	__Srp14	PCED1B	__Tbl1x
1448	__Fli1	__Snw1	DNAJB6	AGO2	GLG1
1449	__Diaph1	SYNGR2	HSPB11	ADAM19	TNFRSF14
1450	IL7R	SMS	SMAD3	ZNF706	PTEN
1451	PNN	__Mrps14	__Smc6	__Mtpn	__Drap1
1452	__Dennd5a	MRTO4	NFIL3	__Acap1	RBM26
1453	__Snw1	__Grk6	__Gm47283	__Vps54	TAPBP
1454	TBC1D10C	__Ddb1	__Tsc22d4	__Pdcd5	__Tmco3
1455	STOML2	MRPL37	RGCC	RSF1	TRAP1
1456	__Eif4a3	__Atxn7l1	__Snx5	OSBPL8	PTPRA
1457	__Myo1g	ZNHIT1	NOSIP	RILPL2	__Gadd45gip1
1458	TMEM14B	__Cog5	__Fbxl17	__Incenp	KAT2B
1459	__Arid1b	C7orf50	PCNP	DNAJC1	RBM6
1460	__Sertad1	ABCF1	BRD4	__Tmem167	CEP57
1461	BIN1	__Rad21	EML4	BRI3	STAT4
1462	SPIDR	PPP1R15A	__Lsm6	__Etfb	__Eif4g1
1463	NPM3	ACBD6	UQCC2	__Ndufb10	__Dennd1a
1464	__Mrps14	IL7R	RBM17	SUPT16H	__Got2
1465	PPP4R2	__Ube3a	__Uqcc2	POLR2L	GNAQ
1466	ZNF609	__Cast	__Cast	ABCC1	__Sra1
1467	HELZ	SPIDR	IGSF9B	NIPBL	__Ndufb10
1468	ABCF1	NKTR	CSK	TAP1	__Huwe1
1469	__Chd3	__Cd48	AC016831.7	SSNA1	PIN1
1470	BUB3	ZDHHC12	FXR1	PAPOLA	__Ndufa10
1471	HNRNPH3	NPM3	__Nisch	__Emc10	DNAJC1
1472	__Mrpl12	LAMTOR1	__Hcst	REV3L	__Wwox
1473	__Gadd45g	__Ube2b	RFLNB	MT1E	PAPOLA
1474	DNAJB6	__Ccng1	__Bag1	__Ppp3cc	ARID2
1475	SYNGR2	UBE2R2	GPBP1	__Lncpint	IL2RB
1476	ZDHHC12	__Zfp292	CCDC12	__Ppm1h	__Csde1
1477	IARS	__D16Ertd472e	CDC20	CCDC88C	SINHCAF
1478	__Cd48	STT3B	__Arl4c	__Smarca5	__Nans
1479	OCIAD2	PITPNC1	TNIK	__Mbd2	KCNN4
1480	__Hist1h1e	__Tbc1d1	MRTO4	__Ddx17	__U2surp
1481	MRPL37	DYNLRB1	ISG15	ADAM8	UTRN
1482	CDC20	ZNF207	PRPF40A	__Tomm22	FAM153CP
1483	LDLRAD4	__Ctsb	CEP57	__Celf1	NCK2
1484	__Ccng1	__Srp14	__Mcm7	ITGB7	__Gm26917
1485	NKTR	__Arid1b	__Ube2b	ADGRE5	__Mcm7
1486	SMS	USP15	NR3C1	__Thrap3	MXI1
1487	__Ube2b	__Hnrnpd	__Ndufa10	PRR13	__Ap2m1
1488	SYNE3	__Ech1	__Mtmr3	PHF21A	__Ncapd2
1489	TCF12	ISG15	__Cnot4	PIN1	__Pdk1
1490	__Cog5	CAST	__Galnt6	__Rgs10	__Oxct1
1491	__Kif22	BRD4	__Mcm6	ABCF1	__Npepps
1492	EIF5	ZNF609	DDX46	C22orf34	__Sp100
1493	__Stag1	OCIAD2	__Ndufa8	ANGPTL4	HAX1
1494	__Tbc1d1	ZMYM2	__Nars	__Tmem14c	__Uqcrc2
1495	__Cast	__Suz12	__Dnajc2	DCAF7	FBXO11
1496	PPP1R15A	BUB3	__Gsk3b	GNPTAB	__Timm23
1497	UBE2R2	HIVEP3	CLEC2B	TIAM1	__Myo1g
1498	DNAJC1	KCNQ5	__Got2	__Ggnbp2	UQCC2
1499	__Eif4b	ABLIM1	GNAQ	CAMK1	__Dazap2
1500	TXNIP	__Nisch	__Zfp706	LAMTOR2	YEATS2
1501	__Bag1	__Kif22	FAM153CP	CLTA	JAK3
1502	NPEPPS	CTLA4	ARID2	__Pdia6	__Csnk2a1
1503	__Actn4	__Malt1	__Sec62	OIP5-AS1	NFIL3
1504	CAST	TFRC	__Psma6	ARPC4	__Sec62
1505	__Ctsb	DNAJB6	__Zc3h15	FNDC3A	TMEM14B
1506	ENY2	TXNIP	NSMCE2	CLNS1A	__Ndufa8
1507	DYNLRB1	HELLS	__Rrbp1	__Larp4b	__Tnks2
1508	STT3B	SLFN12L	RSRC2	__Arl4c	IL4R
1509	REEP5	UPF2	__Tmem134	__Baz1b	TRPM7
1510	KCNQ5	BIN1	CAPG	__Atp10a	MTPN
1511	__Cyp51	ENY2	__Smg6	__Vamp8	CBX5
1512	TFRC	ZBTB20	__Nudt21	__Dip2b	SATB1-AS1
1513	SEC11C	CENPE	__Dnaja2	TMEM14B	__Caprin1
1514	CENPE	__Mllt10	SAE1	__Ndufs3	__Mcm6
1515	__Pnrc1	__Stat1	__Fkbp4	__Twf2	__Zfp706
1516	__Zcchc7	STOML2	__Mgst2	__Ahnak	SMAD3
1517	__Rex1bd	LBH	__Emc10	GOLGA8A	__Fli1
1518	TUT4	COP1	PSMD13	__Zfp148	ACAT2
1519	NUCB1	__Dennd5a	POLR1D	__Grk6	CHSY1
1520	NSMCE1	DNAJC1	CBX5	IGF2R	__Siva1
1521	ZMYM2	LRRC8B	__Tbl1x	__Runx3	RFLNB
1522	__D16Ertd472e	ARGLU1	TBC1D10C	__Uqcrb	NR3C1
1523	__Cox14	__Bag1	TXNRD1	__Cnot1	__Snx5
1524	ZNF207	__Bola2	ZC3H15	TTC17	STIP1
1525	ARGLU1	__Zcchc7	DNAJC1	__Syncrip	__Nedd9
1526	__Fam104a	__Mapre1	PAPOLA	__Immp2l	CHMP4A
1527	__Ago2	__Sertad1	YEATS2	AKT3	NRDC
1528	__Tk1	EIF5	RBM6	__Kmt2a	__Dnaja2
1529	__Atxn7l1	REEP5	__Hmgn1	MICOS13	PIH1D1
1530	USP15	AK4	REEP5	ATP6V0E1	SEC11A
1531	__Klk8	__Hist1h1e	PTPRA	__Ddt	__Tspan32
1532	__Eif4g2	__Ncapd2	__Sp100	__Hcst	__P4ha1
1533	__AA467197	CENPP	NOP56	__Fam104a	__Cmip
1534	__Hmgn1	__Lbr	__Puf60	CTSC	__Rbbp4
1535	PET100	NUP58	__Fkbp2	__Nsd1	ZFR
1536	__Stat1	__Hnrnpa0	SMC3	PPP1R12A	__Psmb7
1537	__Acin1	__Ago2	ZFR	PSMA3	__Nisch
1538	__Supt4a	__Eif3b	IL4R	CENPE	__Smc6
1539	CTLA4	__Nars	__Tmed2	SIVA1	DDB1
1540	__Snd1	__Myo1g	SAT1	SLIRP	ILF3
1541	BRD4	PAPOLA	ABCF1	ILF3	BUD23
1542	SLFN12L	XPO1	__Fam104a	__Csnk1g1	SF1
1543	PDS5A	__Pnrc1	CLTC	MICOS10	PCNP
1544	__Ssh2	__Taf10	TXNIP	GTF2I	__Smc3
1545	__Mrps24	PDS5A	MICOS13	DIAPH2	__Fam104a
1546	POLR1D	ACTN4	IKBKB	__Stk17b	MRPL23
1547	PAPOLA	FAF1	GNL3	HADHA	UBXN1
1548	__Mapre1	__Rnf169	PNRC1	PTGIR	POLR2H
1549	__Malt1	ASCC3	UTRN	__Gsk3b	IKBKB
1550	__Lonp1	SRP72	__H2-T23	FAM172A	PALM2-AKAP2
1551	POLR2H	__Cox14	__Myo6	AKR1A1	HSPB11
1552	PNRC1	__Acin1	__Eif5b	__H2-T23	PSMD13
1553	__Rab8a	NUCB1	__Wdr1	__Il24	ANP32A
1554	__Nisch	__Hmgn1	__Snrpc	__Ccnb1	REEP5
1555	HDLBP	STK24	MTPN	__Mrpl54	DYNLRB1
1556	__Bola2	__Eif4b	__Lrrfip1	__Myo6	__Cast
1557	ABLIM1	__Fam104a	__Siva1	__Mcm7	GPBP1
1558	COP1	__Rab8a	LDLRAD4	__Nop10	SLFN12L
1559	__Ms4a4c	SMARCC1	IARS	__Klf2	CDK1
1560	__Lbr	__Mgst2	ARF6	__Ube2b	__Etv6
1561	__Mgst2	PNRC1	__Lman2	CDKN2D	__Etfb
1562	__Fkbp4	__Tk1	__U2surp	__Pdk1	__Chd3
1563	__Rad21	__Ssh2	ADAM8	PTPN22	__Taf1d
1564	__Twf2	SINHCAF	__Sra1	HPCAL1	__Mrpl12
1565	__Map2k2	__Eif4g2	__Ncoa3	__Bzw1	__Aopep
1566	__Emc10	DPYD	__Ddx6	__Mgst2	__Psma6
1567	FAF1	RCSD1	HAX1	TAPBP	__Txnl1
1568	LRRC8B	__Ms4a4c	SLFN12L	SMAD2	ARPC4
1569	LBH	UQCC2	BDP1	__Mcm6	__Mtmr3
1570	XPO1	FANCI	__Tnrc6c	__Senp6	FXR1
1571	SRP72	POLR2H	NRDC	TACC1	__Ube2b
1572	DPYD	__Gadd45g	POLR2H	SINHCAF	CSK
1573	__Ncapd2	__Rap1gds1	RFX7	__Rrbp1	__Pde4d
1574	LRRC8C	CDK1	__Grk6	__Hmgn1	__Ccni
1575	__Mllt10	NSMCE1	__Npepps	__Pbrm1	__Lsm6
1576	SMARCC1	ATP6V0C	NPEPPS	SEPTIN1	SUMO1
1577	VKORC1	TBC1D10C	__Oxct1	FAM120A	__Uqcc2
1578	EIF4A2	PRPF40A	SMG1	__Tsc22d4	TXNRD1
1579	__Jarid2	__Dazap2	ILF3	RSL1D1	__Hmgn1
1580	__Oxct1	HDLBP	__Fli1	TET2	PSMA3
1581	__Snx5	UBE2K	RLF	__Kdm2a	AKR1A1
1582	PHGDH	CEP57	AFF1	ITGB2	__Tmem134
1583	CDK1	LRRC8C	CDK1	__Arhgef1	RSF1
1584	NUP58	EIF1AX	__Eif4a2	__Arid1a	EIF1AX
1585	__Suz12	MCM3	__Myo1g	RBMS3	LDLRAD4
1586	__Dazap2	SCAPER	UBXN1	PSMD14	__Pabpn1
1587	__Babam2	__Setx	__Timm23	FYB1	__Arid1a
1588	EIF1AY	__Twf2	__Txnl1	__Ldlr	NSMCE2
1589	NOSIP	__Supt4a	__Ncapd2	NUDT21	RBM17
1590	__Rad50	__Cyp51	__Rgs10	__Rsrc1	__Ube3a
1591	HIVEP3	__Mrps24	__Eif4g1	IGSF9B	AKAP9
1592	MCM3	__Oxct1	__Nans	RTN4	__Dazap1
1593	SRM	TERF2IP	__Ccnb1	__Ndufs4	__Rnf169
1594	AK4	CMSS1	__Myl12b	__Psmc3	ACBD6
1595	STK24	ANKHD1	UQCRC2	__Mrpl18	__Emc10
1596	IDH2	__Zc3h15	__Bcap31	DYRK1A	__Ncoa3
1597	PALM2-AKAP2	__Rex1bd	__Dennd1a	POLR2H	__Fkbp2
1598	RCSD1	ILF3	__Phf20l1	STIM1	IL1RAP
1599	ATP6V0C	__Taf1d	SEC11A	UPP1	__Lars2
1600	__Bex3	DNAJC8	__Ighm	FEN1	TPRG1
1601	UBE2K	MAP2K2	__Neil3	DLG1	__Dbnl
1602	SINHCAF	__Lsm6	KCNN4	__Nfatc3	MED10
1603	UPF2	CDC20	EIF1AX	__Xpo1	MRPS5
1604	TRIM28	__Bex3	MAP2K1	__Tnik	SSNA1
1605	TERF2IP	__Snd1	MED10	__Galnt6	__Lman2
1606	__Rap1gds1	__Rad50	ZNF207	__Ncapd2	IARS
1607	ZBTB20	POLR1D	__Tnks2	__Nfat5	__Eif3b
1608	EIF1AX	__Mxi1	SUMO1	CCDC167	__Irf8
1609	__Lsm6	RBM25	TUT4	SIAH2	__Bcap31
1610	PRPF40A	__Jarid2	FBXO11	REEP5	PRMT2
1611	CENPP	__Ndufa1	DDX39A	__P4ha1	__Rad50
1612	PIN1	PALM2-AKAP2	FRYL	__Slbp	__Tmed2
1613	PKIA	RAPGEF6	__Eprs	CAMKMT	__Tnrc6c
1614	__Atf4	__Snx5	IL1RAP	__Cdk17	SEC11C
1615	__Uqcrc2	__Arid1a	TMEM59	BLVRB	__Wdr1
1616	__Tmem134	__Usp3	__Klk8	CDK1	__Dnajc7
1617	__Aopep	SEC11C	SINHCAF	SSRP1	__Hdlbp
1618	__Khdrbs1	AP2B1	ITGB2	__Ifngr1	__Twf2
