rank	split_69001	split_69002	split_69003	split_69004	split_69005
178	__Ddx18	LARS	PPP1R18	AGFG1	TXNL1
179	__Clint1	__Vps13b	FIS1	__Cdc42se1	__Epn1
180	CPSF6	__Itgav	__Wdr83os	__Timm17b	POLR2A
181	__Zcrb1	MT-ND6	ATP11B	ITGB3BP	__Eif3l
182	__Zfp207	COPB1	__Epn1	__Rock2	BRWD1
183	EHMT1	AGTPBP1	RELB	PDSS2	EHMT1
184	__Cox16	__Atf1	ZNF654	MRPS16	PPP2R5E
185	COPB2	__Naa15	COMMD1	__Rad23b	HNRNPUL1
186	ANKLE2	__Lrba	PHF3	__Erbin	RAD50
187	GRPEL1	SAFB	MAP3K2	CDC25B	FNTA
188	MRPL24	ITPR1	__Ssbp2	__Fam133b	__Rps6ka3
189	__Vps13b	__Ctbp1	ACAA2	ELF2	CAMTA1
190	__Vps54	__Tmem97	CARD8	__Nufip2	CERS6
191	__Rcn1	__Ddit3	NSD1	SPCS3	__Dcun1d5
192	__Nxpe3	__Dock11	__Actr10	__Lrch1	__Eif1ad
193	DCTN3	TM9SF3	__Ncapd3	AVL9	RALA
194	__Elovl5	__Ddx17	__Pmepa1	ZFC3H1	__Zcrb1
195	__Ebna1bp2	__Tbcb	ARF5	ATM	__Ddx3x
196	__Naa15	KLF13	RBM33	BRWD3	NCOA1
197	__Acsl4	__Emd	POC1B	__Sec62	__Cnp
198	LARS	TIMM17B	TXNL1	__Madd	CERT1
199	CSGALNACT2	ANKLE2	URI1	NUFIP2	UBE3C
200	ADNP	__Rcn1	RIF1	MVP	__Wdr83os
201	SAFB	PRIM2	__Dcps	__Msmo1	__Ccnl2
202	ATXN10	GIMAP4	__Frg1	PPP6R1	__Eml4
203	__Mia2	ARFGEF1	EXOSC7	GLRX5	ZCRB1
204	__Cd6	GRPEL1	__Inpp5d	AMD1	__Cab39
205	FNTA	CMPK1	NOL3	DDX3X	__Pias1
206	RASA2	FNTA	CERS6	SEC62	KDM6A
207	__Mphosph8	__Vps54	__Aarsd1	__Psip1	CD164
208	SNX5	__Ccdc50	PKN2	__Mbp	HMG20B
209	AFTPH	ISG20	__Lsm7	__Sec24c	PFDN4
210	__Atf1	__Tgm2	__Btbd9	RAD23B	__Dpysl2
211	PPP2R5E	PRPF6	__Dcun1d5	__Vdac3	__Sys1
212	__Epn1	__Crlf2	__Srm	FLT1	ATP6V1G1
213	__Ddx42	__Wapl	YTHDF2	POLQ	__Actr10
214	__Lta4h	SMARCB1	__Hells	__Ly6c2	MRPS18C
215	__Arrb2	PARN	EIF2S3	__Rif1	COG5
216	METTL15	__Lars2	ARL3	__Hnrnph1	__Cenpx
217	MYO9B	CCNL1	__Asap1	OSTF1	DDIT3
218	__Slc44a2	CASP8	YWHAG	ZNF395	__Zcchc17
219	__Itgal	__Ap2b1	FOXJ3	TOPBP1	TRAPPC6A
220	USP37	EXOSC7	__Cox16	RASAL3	AC147651.4
221	__Akr1b3	__Slc44a2	ZAP70	__Bcl2l1	RASSF5
222	__Copz1	VPS51	SHLD2	__Zfp407	PPP1R18
223	__Ap2b1	__Herc1	__Lsm5	__Spag9	RBM33
224	ZAP70	ZAP70	DDOST	__Rab8a	DNAJC7
225	__Wapl	__Ssbp4	__Polr2g	__Ptpn22	ZNF654
226	__Grb2	__Arrb2	__Lsm12	TRA2A	__Idh3g
227	MON2	ARIH1	MBOAT7	__Cenpm	R3HDM2
228	__Sh2d2a	GIGYF2	__Ppp1r18	P2RX4	EIF4A3
229	__Cfdp1	__Cd6	__Uck2	TWF2	SHLD2
230	CLSPN	__Hivep2	CDV3	MNAT1	__Pdcd6
231	PRPF6	PPP1R2	RNF216	MAP3K14	AIF1
232	RECQL	MYO9B	CENPK	PLAGL2	TMEM147
233	__Ppp2r1a	PRPF31	TTF1	ETFA	__Sh2d2a
234	__Agfg1	__Rsbn1l	__Atad2	REXO2	PHF3
235	SLC5A3	__Snhg6	__Cul3	SNX10	NOL3
236	KLF13	__Ddx42	__Snf8	EXOSC8	__Babam1
237	__Ripor2	MRPL24	EIF4A3	KIF3B	RECQL
238	__Tcea1	__Ripor2	__Eml4	__Eif4a3	__Smarca4
239	__Ndufv1	MRPL13	__Ehmt2	RAD50	POC1B
240	MBOAT7	ACOT7	__Ankib1	USP14	ERBIN
241	CCNL1	__Smg1	AC008105.3	__Hsbp1	__Nop58
242	__Txndc17	RABGAP1	SZRD1	__Med13l	PPP6R1
243	AUP1	__Mbtd1	__Purb	__Sys1	__Rbm38
244	__Ep400	CCAR1	ERBIN	__Dtymk	SMC1A
245	MAPKAPK2	__Phf21a	__Sys1	__Bcas2	MRPS15
246	__Phf21a	__Itgal	OSTF1	__Nrd1	MBOAT7
247	COPB1	GBF1	__Rsf1	__Sbno1	GOLGA8B
248	GBF1	TTC7A	ODC1	__Nrf1	__H2-DMa
249	__Sptbn1	TRERF1	IMP3	__Vsir	__Itgav
250	COA6	__Txndc17	EHMT1	__Kdelr1	__Ptms
251	__Itgav	__Copz1	GOLGB1	__Trerf1	__Btg1
252	__Mrpl21	__Isg20	SPPL3	MTSS1	TAF10
253	RASAL3	__Ppp1cb	__Ndufb2	BTAF1	ODC1
254	IMP4	__Cenpx	TRAPPC6A	__Pkp4	__Purb
255	__Actr10	VRK1	AHNAK	__Ccnl1	__Zfp207
256	GOLGA8A	SLC25A39	RALA	VPS13A	SNX5
257	__Mcl1	FKBP3	__Cdca2	__Tex2	CALD1
258	__Jmjd6	__Bcl2l11	CERT1	__Mknk2	__Fundc2
259	PARN	__Ebna1bp2	__Cdc42se1	CDK5RAP2	PLEKHJ1
260	__Acat2	__Ubn2	__Vdac3	MAP4K4	SPCS3
