n_sites	signed_fraction_all	signed_fraction_responsive20	signed_fraction_predicted20	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	predicted20_cosine	predicted20_spearman	predicted20_direction	top20_recall	top20_overlap_direction	response_auroc_abs_pred	pred_abs	real_abs	model	comparison_id	comparison_index	perturbation	target_genes	n_mapping_rows	retrieved_target_comparison	retrieved_target_baseline_comparison
32	1.0	1.0	1.0	0.017525337063828812	0.07954545454545453	0.5625	-0.5077566730092671	-0.10714285714285716	0.14285714285714285	0.10372118004060969	0.07142857142857144	0.8571428571428571	0.0		0.4057142857142857	0.028759895967780835	1.0948569697793573	graph_heat_diffusion	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
32	0.96875	1.0	1.0	0.012849899478854912	0.059017595307917885	0.5483870967741935	-0.49998917129261117	0.03571428571428572	0.14285714285714285	0.08607037877158769	0.14285714285714288	0.7142857142857143	0.0		0.4685714285714286	0.03551288797702057	1.0948569697793573	rwr_signed_graph	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
32	0.96875	0.8571428571428571	1.0	0.10360535474899253	0.07807917888563048	0.5161290322580645	0.1302546857179469	0.03571428571428572	0.5	0.2242901428722402	0.5	0.7142857142857143	0.42857142857142855	0.6666666666666666	0.6685714285714286	0.05650720820995048	1.0948569697793573	ridge_signed_target	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
32	0.75	0.5714285714285714	1.0	-0.1054965792340583	0.35852574965958556	0.75	-0.2637342527887283	0.48181205582971587	0.75	-0.5356250564126803	-0.14285714285714288	0.5714285714285714	0.14285714285714285	0.0	0.38571428571428573	0.09543536658748053	1.0948569697793573	retrieval_target	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36	decryptm_delta_00020	
32	0.8125	0.7142857142857143	1.0	0.2959723941848614	0.19398831698060862	0.6538461538461539	0.5997161190408827	0.34235623582431246	0.6	0.608038580061727	0.42857142857142866	0.7142857142857143	0.42857142857142855	1.0	0.5828571428571429	0.13442132156342268	1.0948569697793573	retrieval_target_baseline	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		decryptm_delta_00038
32	1.0	1.0	1.0	0.428634662116092	0.691715542521994	0.53125	0.49285326779810423	0.7500000000000002	1.0	0.6676824345586214	0.642857142857143	0.8571428571428571	0.5714285714285714	1.0	0.8285714285714286	7.189911970328922e-05	1.1389355293940753	ppko_v10b	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.1389355293940753	zero_vector	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.1389355293940753	direct_kinase_substrate	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.1389355293940753	graph_heat_diffusion	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.1389355293940753	rwr_signed_graph	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.96875	1.0	1.0	-0.06214397809135811	-0.022360703812316713	0.5806451612903226	-0.17113302618903242	-0.07142857142857144	0.5714285714285714	0.12528310752921354	0.7857142857142859	0.8571428571428571	0.2857142857142857	0.5	0.5085714285714286	0.05650720820995048	1.1389355293940753	ridge_signed_target	p100_delta_00076	76	Carfilzomib	PSMB5	36		
32	0.71875	0.5714285714285714	1.0	-0.03785932106690213	0.03410144105355984	0.5652173913043478	0.586337597985665	0.29649972666444047	0.75	-0.22957162737113496	0.03571428571428572	0.5714285714285714	0.0		0.3314285714285714	0.12376089798635803	1.1389355293940753	retrieval_target	p100_delta_00076	76	Carfilzomib	PSMB5	36	decryptm_delta_00000	
32	0.8125	0.8571428571428571	1.0	-0.0011048891441575459	-0.06159818596066719	0.5384615384615384	0.2639018139794693	0.10714285714285716	0.8333333333333334	0.4783928328656133	0.642857142857143	0.8571428571428571	0.14285714285714285	1.0	0.4085714285714286	0.13442132156342268	1.1389355293940753	retrieval_target_baseline	p100_delta_00076	76	Carfilzomib	PSMB5	36		decryptm_delta_00038
32	1.0	1.0	1.0	0.8093999120504174	0.81341642228739	0.8125	0.8700028962020443	0.7500000000000002	1.0	0.9263234781241713	0.7857142857142859	0.8571428571428571	0.42857142857142855	1.0	0.7085714285714285	0.06574906344394549	0.7976730305235833	ppko_v10b	p100_delta_00077	77	Erlotinib	EGFR	36		
32	0.0	0.0	0.0										0.42857142857142855		0.5	0.0	0.7976730305235833	zero_vector	p100_delta_00077	77	Erlotinib	EGFR	36		
32	0.0	0.0	0.0										0.42857142857142855		0.5	0.0	0.7976730305235833	direct_kinase_substrate	p100_delta_00077	77	Erlotinib	EGFR	36		
32	0.96875	1.0	1.0	-0.006106001293556592	0.11986803519061583	0.5161290322580645	0.40082097787962784	0.7857142857142859	0.5714285714285714	-0.01008349891046184	0.5	0.5714285714285714	0.2857142857142857	1.0	0.6857142857142857	0.0078103972443841485	0.7976730305235833	graph_heat_diffusion	p100_delta_00077	77	Erlotinib	EGFR	36		
32	0.96875	1.0	1.0	-0.005595823078764128	0.10557184750733135	0.45161290322580644	0.4428349573811491	0.7500000000000002	0.5714285714285714	-0.011099393295847313	0.03571428571428572	0.2857142857142857	0.2857142857142857	1.0	0.5257142857142857	0.007712150700399434	0.7976730305235833	rwr_signed_graph	p100_delta_00077	77	Erlotinib	EGFR	36		
32	0.96875	1.0	1.0	0.24137903536251376	0.008064516129032258	0.4838709677419355	0.44344445929095694	-0.07142857142857144	0.5714285714285714	0.6144789581497815	0.642857142857143	0.8571428571428571	0.14285714285714285	1.0	0.3485714285714286	0.10622717472324439	0.7976730305235833	ridge_signed_target	p100_delta_00077	77	Erlotinib	EGFR	36		
